Strategy,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-06 18:55:00,2024-05-06 23:00:00,MCX COPPER,866.45,866.8,7500,-1,-2625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-07 12:20:00,2024-05-07 13:37:00,MCX COPPER,864.25,863.0,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-07 21:05:00,2024-05-07 23:00:00,MCX COPPER,866.0,865.7,7500,1,-2250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-09 13:40:00,2024-05-09 19:33:00,MCX COPPER,853.25,857.25,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-09 20:05:00,2024-05-09 23:00:00,MCX COPPER,857.6,859.6,7500,1,15000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-10 18:55:00,2024-05-10 23:00:00,MCX COPPER,867.05,869.55,7500,-1,-18750.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-13 20:26:00,2024-05-13 23:00:00,MCX COPPER,881.2,883.85,7500,1,19875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-15 11:35:00,2024-05-15 12:22:00,MCX COPPER,893.05,893.3,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-15 13:25:00,2024-05-15 14:16:00,MCX COPPER,896.9,900.15,7500,1,24375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-16 13:15:00,2024-05-16 18:02:00,MCX COPPER,897.6,893.6,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-20 19:55:00,2024-05-20 23:00:00,MCX COPPER,927.7,936.35,7500,1,64875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-21 13:25:00,2024-05-21 13:47:00,MCX COPPER,935.1,931.1,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-22 11:45:00,2024-05-22 12:34:00,MCX COPPER,927.05,927.3,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-23 09:30:00,2024-05-23 10:18:00,MCX COPPER,892.5,891.25,7500,-1,9375.0,StopLoss
